player 2 initial hand6 4 8 6
player 2 draws a 8 from deck 2
player 2 discards a 8 to deck 3
player 2 current hand is6 4 6 8
player 2 draws a 7 from deck 2
player 2 discards a 8 to deck 3
player 2 current hand is6 4 6 7
player 2 draws a 8 from deck 2
player 2 discards a 7 to deck 3
player 2 current hand is6 4 6 8
player 2 draws a 9 from deck 2
player 2 discards a 8 to deck 3
player 2 current hand is6 4 6 9
player 2 draws a 2 from deck 2
player 2 discards a 6 to deck 3
player 2 current hand is6 4 9 2
player 2 draws a 2 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand is6 9 2 2
player 2 draws a 3 from deck 2
player 2 discards a 6 to deck 3
player 2 current hand is9 2 2 3
player 2 draws a 3 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand is9 2 2 3
player 2 draws a 4 from deck 2
player 2 discards a 9 to deck 3
player 2 current hand is2 2 3 4
player 2 draws a 4 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand is2 2 3 4
player 2 draws a 9 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand is2 2 4 9
player 2 draws a 8 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand is2 2 9 8
player 2 draws a 9 from deck 2
player 2 discards a 9 to deck 3
player 2 current hand is2 2 8 9
player 2 draws a 6 from deck 2
player 2 discards a 8 to deck 3
player 2 current hand is2 2 9 6
player 2 draws a 5 from deck 2
player 2 discards a 6 to deck 3
player 2 current hand is2 2 9 5
player 3 has informed player 2 that player 3 has won
player 2 exits
player 2 final hand:2 2 9 5
